,long,lat,group,order,region,State
91664,-155.5813446,19.01201057,1443,91664,USA,Hawaii
91665,-155.6256409,18.96391678,1443,91665,USA,Hawaii
91666,-155.6807556,18.96767616,1443,91666,USA,Hawaii
91667,-155.8813019,19.07050705,1443,91667,USA,Hawaii
91668,-155.9056091,19.1258316,1443,91668,USA,Hawaii
91669,-155.8907166,19.38251877,1443,91669,USA,Hawaii
91670,-155.9658203,19.59082031,1443,91670,USA,Hawaii
91671,-156.0486755,19.74995041,1443,91671,USA,Hawaii
91672,-155.9884338,19.83159065,1443,91672,USA,Hawaii
91673,-155.9088898,19.8947258,1443,91673,USA,Hawaii
91674,-155.8203125,20.01416016,1443,91674,USA,Hawaii
91675,-155.8927765,20.16738319,1443,91675,USA,Hawaii
91676,-155.8742676,20.25981522,1443,91676,USA,Hawaii
91677,-155.8316345,20.27582932,1443,91677,USA,Hawaii
91678,-155.6220703,20.16342735,1443,91678,USA,Hawaii
91679,-155.1987762,19.99438477,1443,91679,USA,Hawaii
91680,-155.0860901,19.87563515,1443,91680,USA,Hawaii
91681,-155.065918,19.74819374,1443,91681,USA,Hawaii
91682,-154.9890137,19.73198318,1443,91682,USA,Hawaii
91683,-154.9525757,19.64462852,1443,91683,USA,Hawaii
91684,-154.8413544,19.56816483,1443,91684,USA,Hawaii
91685,-154.8041992,19.52446365,1443,91685,USA,Hawaii
91686,-154.850296,19.45410156,1443,91686,USA,Hawaii
91687,-155.0534668,19.31918907,1443,91687,USA,Hawaii
91688,-155.3096161,19.26015663,1443,91688,USA,Hawaii
91689,-155.5352478,19.10908127,1443,91689,USA,Hawaii
91690,-155.5813446,19.01201057,1443,91690,USA,Hawaii
91692,-156.8496094,20.77265549,1444,91692,USA,Hawaii
91693,-156.9088898,20.74448395,1444,91693,USA,Hawaii
91694,-156.9733887,20.75752068,1444,91694,USA,Hawaii
91695,-156.9884338,20.82568359,1444,91695,USA,Hawaii
91696,-157.0505829,20.91245079,1444,91696,USA,Hawaii
91697,-156.9417877,20.93002892,1444,91697,USA,Hawaii
91698,-156.8805695,20.90483475,1444,91698,USA,Hawaii
91699,-156.8482819,20.87778282,1444,91699,USA,Hawaii
91700,-156.8093719,20.83115387,1444,91700,USA,Hawaii
91701,-156.8496094,20.77265549,1444,91701,USA,Hawaii
91703,-156.4868164,20.9325676,1445,91703,USA,Hawaii
91704,-156.4608307,20.91474533,1445,91704,USA,Hawaii
91705,-156.3544006,20.94145584,1445,91705,USA,Hawaii
91706,-156.2775421,20.95127106,1445,91706,USA,Hawaii
91707,-156.1483459,20.88549805,1445,91707,USA,Hawaii
91708,-156.1035156,20.84033203,1445,91708,USA,Hawaii
91709,-156.0186462,20.79208946,1445,91709,USA,Hawaii
91710,-155.9898376,20.75712967,1445,91710,USA,Hawaii
91711,-156.0135651,20.71479607,1445,91711,USA,Hawaii
91712,-156.107132,20.64477348,1445,91712,USA,Hawaii
91713,-156.2347717,20.62861252,1445,91713,USA,Hawaii
91714,-156.3099518,20.59877968,1445,91714,USA,Hawaii
91715,-156.4087982,20.60517693,1445,91715,USA,Hawaii
91716,-156.4382324,20.61787224,1445,91716,USA,Hawaii
91717,-156.4488678,20.70624924,1445,91717,USA,Hawaii
91718,-156.4800873,20.80121994,1445,91718,USA,Hawaii
91719,-156.5438538,20.78998947,1445,91719,USA,Hawaii
91720,-156.6154327,20.82182693,1445,91720,USA,Hawaii
91721,-156.6896973,20.90141487,1445,91721,USA,Hawaii
91722,-156.6977539,20.94907379,1445,91722,USA,Hawaii
91723,-156.6568909,21.02451134,1445,91723,USA,Hawaii
91724,-156.5854034,21.03432655,1445,91724,USA,Hawaii
91725,-156.5323181,20.99267578,1445,91725,USA,Hawaii
91726,-156.4868164,20.9325676,1445,91726,USA,Hawaii
91728,-157.213623,21.21537971,1446,91728,USA,Hawaii
91729,-157.0022888,21.1879406,1446,91729,USA,Hawaii
91730,-156.9523315,21.19970703,1446,91730,USA,Hawaii
91731,-156.9171906,21.17729568,1446,91731,USA,Hawaii
91732,-156.7421875,21.16352463,1446,91732,USA,Hawaii
91733,-156.7121582,21.15507889,1446,91733,USA,Hawaii
91734,-156.7478943,21.10356522,1446,91734,USA,Hawaii
91735,-156.8598633,21.0563488,1446,91735,USA,Hawaii
91736,-157.0209045,21.09780121,1446,91736,USA,Hawaii
91737,-157.290329,21.11259842,1446,91737,USA,Hawaii
91738,-157.2794952,21.15234375,1446,91738,USA,Hawaii
91739,-157.2538147,21.18056679,1446,91739,USA,Hawaii
91740,-157.2499542,21.22978592,1446,91740,USA,Hawaii
91741,-157.213623,21.21537971,1446,91741,USA,Hawaii
91743,-157.7993622,21.45664215,1447,91743,USA,Hawaii
91744,-157.7649994,21.45092773,1447,91744,USA,Hawaii
91745,-157.7209015,21.45771599,1447,91745,USA,Hawaii
91746,-157.7055206,21.37807655,1447,91746,USA,Hawaii
91747,-157.6541595,21.33393478,1447,91747,USA,Hawaii
91748,-157.6353912,21.30761719,1447,91748,USA,Hawaii
91749,-157.6908722,21.27973557,1447,91749,USA,Hawaii
91750,-157.7987823,21.26860237,1447,91750,USA,Hawaii
91751,-157.8493195,21.29081917,1447,91751,USA,Hawaii
91752,-157.9017639,21.34057617,1447,91752,USA,Hawaii
91753,-157.9584503,21.3269043,1447,91753,USA,Hawaii
91754,-157.9683075,21.36689377,1447,91754,USA,Hawaii
91755,-157.9784241,21.37851524,1447,91755,USA,Hawaii
91756,-158.0172882,21.36772346,1447,91756,USA,Hawaii
91757,-157.980957,21.31611443,1447,91757,USA,Hawaii
91758,-158.0791473,21.31225586,1447,91758,USA,Hawaii
91759,-158.1103516,21.31860352,1447,91759,USA,Hawaii
91760,-158.1378326,21.37714767,1447,91760,USA,Hawaii
91761,-158.2391205,21.48935699,1447,91761,USA,Hawaii
91762,-158.2386627,21.53305817,1447,91762,USA,Hawaii
91763,-158.2731476,21.58525467,1447,91763,USA,Hawaii
91764,-158.1231079,21.60024452,1447,91764,USA,Hawaii
91765,-158.0203552,21.69179535,1447,91765,USA,Hawaii
91766,-157.9624939,21.70136642,1447,91766,USA,Hawaii
91767,-157.8515167,21.55336952,1447,91767,USA,Hawaii
